[2026-06-17 22:31:02,915] [INFO] [ai_detector.logging.logger] - Logginng initialized. Logs will be Saved to: logs/2026_06_17_22_%NM_02.log
[2026-06-17 22:31:03,378] [INFO] [ai_detector.logging.logger] - 🚀 Starting FastAPI application...
[2026-06-17 22:31:03,378] [INFO] [ai_detector.logging.logger] - Using device: cuda
[2026-06-17 22:31:03,378] [INFO] [ai_detector.logging.logger] - Loading all 4 models...
[2026-06-17 22:31:03,378] [INFO] [ai_detector.logging.logger] - ModelLoader initialized on device: cuda
[2026-06-17 22:31:03,378] [INFO] [ai_detector.logging.logger] - Loading all 4 models...
[2026-06-17 22:31:03,378] [INFO] [ai_detector.logging.logger] - Loading Model 1 (Custom CNN) from models/model_tiny_vgg_cnn.pth...
[2026-06-17 22:31:03,569] [INFO] [ai_detector.logging.logger] - ✓ Model 1 loaded successfully
[2026-06-17 22:31:03,570] [INFO] [ai_detector.logging.logger] - Loading Model 2 (EfficientNet B0) from models/model_1_resnet_b0.pth...
[2026-06-17 22:31:03,821] [INFO] [ai_detector.logging.logger] - ✓ Model 2 loaded successfully
[2026-06-17 22:31:03,821] [INFO] [ai_detector.logging.logger] - Loading Model 3 (ViT B-16) from models/model_2_ViT_b16.pth...
[2026-06-17 22:31:05,983] [INFO] [ai_detector.logging.logger] - ✓ Model 3 loaded successfully
[2026-06-17 22:31:05,983] [INFO] [ai_detector.logging.logger] - Loading Model 4 (Hybrid) from models/model_3_Hybrid.pth...
[2026-06-17 22:31:06,515] [INFO] [ai_detector.logging.logger] - ✓ Model 4 loaded successfully
[2026-06-17 22:31:06,515] [INFO] [ai_detector.logging.logger] - ✓ All 4 models loaded successfully
[2026-06-17 22:31:06,515] [INFO] [ai_detector.logging.logger] - ✅ All models loaded successfully!
[2026-06-17 22:31:06,515] [INFO] [ai_detector.logging.logger] - 🌐 FastAPI server ready at http://localhost:8000
[2026-06-17 22:31:06,516] [INFO] [ai_detector.logging.logger] - 📚 Docs at http://localhost:8000/docs
[2026-06-17 22:31:06,516] [INFO] [ai_detector.logging.logger] - GPU Memory - Total: 3.90GB | Allocated: 0.37GB | Free: 3.53GB | Used: 9.5%
[2026-06-17 22:37:37,771] [INFO] [ai_detector.logging.logger] - Processing image: Photo from 2026-05-22 17-03-41.146410.jpeg
[2026-06-17 22:37:37,771] [INFO] [ai_detector.logging.logger] -   Predicting with model_1...
[2026-06-17 22:37:38,893] [INFO] [ai_detector.logging.logger] -   Predicting with model_2...
[2026-06-17 22:37:39,131] [INFO] [ai_detector.logging.logger] -   Predicting with model_3...
[2026-06-17 22:37:39,268] [INFO] [ai_detector.logging.logger] -   Predicting with model_4...
[2026-06-17 22:37:39,346] [INFO] [ai_detector.logging.logger] - ✓ Processing complete in 1.62s
[2026-06-17 22:48:31,202] [INFO] [ai_detector.logging.logger] - Processing image: WhatsApp Image 2026-06-17 at 10.46.37 PM.jpeg
[2026-06-17 22:48:31,204] [INFO] [ai_detector.logging.logger] -   Predicting with model_1...
[2026-06-17 22:48:32,124] [INFO] [ai_detector.logging.logger] -   Predicting with model_2...
[2026-06-17 22:48:32,321] [INFO] [ai_detector.logging.logger] -   Predicting with model_3...
[2026-06-17 22:48:32,540] [INFO] [ai_detector.logging.logger] -   Predicting with model_4...
[2026-06-17 22:48:32,734] [INFO] [ai_detector.logging.logger] - ✓ Processing complete in 1.54s
[2026-06-17 22:48:53,510] [INFO] [ai_detector.logging.logger] - Processing image: WhatsApp Image 2026-06-17 at 10.46.36 PM (2).jpeg
[2026-06-17 22:48:53,510] [INFO] [ai_detector.logging.logger] -   Predicting with model_1...
[2026-06-17 22:48:53,553] [INFO] [ai_detector.logging.logger] -   Predicting with model_2...
[2026-06-17 22:48:53,592] [INFO] [ai_detector.logging.logger] -   Predicting with model_3...
[2026-06-17 22:48:53,655] [INFO] [ai_detector.logging.logger] -   Predicting with model_4...
[2026-06-17 22:48:53,731] [INFO] [ai_detector.logging.logger] - ✓ Processing complete in 0.22s
[2026-06-17 22:49:12,418] [INFO] [ai_detector.logging.logger] - Processing image: WhatsApp Image 2026-06-17 at 10.46.36 PM (1).jpeg
[2026-06-17 22:49:12,418] [INFO] [ai_detector.logging.logger] -   Predicting with model_1...
[2026-06-17 22:49:12,468] [INFO] [ai_detector.logging.logger] -   Predicting with model_2...
