[2026-05-25 03:54:04,854] [INFO] [ai_detector.logging.logger] - Logginng initialized. Logs will be Saved to: logs/2026_05_25_03_%NM_04.log
[2026-05-25 03:54:05,140] [INFO] [ai_detector.logging.logger] - 🚀 Starting FastAPI application...
[2026-05-25 03:54:05,140] [INFO] [ai_detector.logging.logger] - Using device: cuda
[2026-05-25 03:54:05,140] [INFO] [ai_detector.logging.logger] - Loading all 4 models...
[2026-05-25 03:54:05,140] [INFO] [ai_detector.logging.logger] - ModelLoader initialized on device: cuda
[2026-05-25 03:54:05,140] [INFO] [ai_detector.logging.logger] - Loading all 4 models...
[2026-05-25 03:54:05,141] [INFO] [ai_detector.logging.logger] - Loading Model 1 (Custom CNN) from models/model_tiny_vgg_cnn.pth...
[2026-05-25 03:54:05,564] [INFO] [ai_detector.logging.logger] - ✓ Model 1 loaded successfully
[2026-05-25 03:54:05,564] [INFO] [ai_detector.logging.logger] - Loading Model 2 (EfficientNet B0) from models/model_1_resnet_b0.pth...
[2026-05-25 03:54:05,808] [INFO] [ai_detector.logging.logger] - ✓ Model 2 loaded successfully
[2026-05-25 03:54:05,808] [INFO] [ai_detector.logging.logger] - Loading Model 3 (ViT B-16) from models/model_2_ViT_b16.pth...
[2026-05-25 03:54:08,465] [INFO] [ai_detector.logging.logger] - ✓ Model 3 loaded successfully
[2026-05-25 03:54:08,466] [INFO] [ai_detector.logging.logger] - Loading Model 4 (Hybrid) from models/model_3_Hybrid.pth...
[2026-05-25 03:54:08,962] [INFO] [ai_detector.logging.logger] - ✓ Model 4 loaded successfully
[2026-05-25 03:54:08,963] [INFO] [ai_detector.logging.logger] - ✓ All 4 models loaded successfully
[2026-05-25 03:54:08,963] [INFO] [ai_detector.logging.logger] - ✅ All models loaded successfully!
[2026-05-25 03:54:08,963] [INFO] [ai_detector.logging.logger] - 🌐 FastAPI server ready at http://localhost:8000
[2026-05-25 03:54:08,963] [INFO] [ai_detector.logging.logger] - 📚 Docs at http://localhost:8000/docs
[2026-05-25 03:54:08,964] [INFO] [ai_detector.logging.logger] - GPU Memory - Total: 3.90GB | Allocated: 0.42GB | Free: 3.48GB | Used: 10.8%
[2026-05-25 03:54:35,404] [INFO] [ai_detector.logging.logger] - Processing image: Photo from 2026-05-22 17-03-41.146410.jpeg
[2026-05-25 03:54:35,404] [INFO] [ai_detector.logging.logger] -   Predicting with model_1...
[2026-05-25 03:54:36,134] [INFO] [ai_detector.logging.logger] -   Predicting with model_2...
[2026-05-25 03:54:36,407] [INFO] [ai_detector.logging.logger] -   Predicting with model_3...
[2026-05-25 03:54:36,539] [INFO] [ai_detector.logging.logger] -   Predicting with model_4...
[2026-05-25 03:54:36,614] [INFO] [ai_detector.logging.logger] - ✓ Processing complete in 1.26s
[2026-05-25 03:55:23,924] [INFO] [ai_detector.logging.logger] - Processing image: AI_Generated_Image.png
[2026-05-25 03:55:23,925] [INFO] [ai_detector.logging.logger] -   Predicting with model_1...
[2026-05-25 03:55:24,215] [INFO] [ai_detector.logging.logger] -   Predicting with model_2...
[2026-05-25 03:55:24,291] [INFO] [ai_detector.logging.logger] -   Predicting with model_3...
[2026-05-25 03:55:24,399] [INFO] [ai_detector.logging.logger] -   Predicting with model_4...
[2026-05-25 03:55:24,506] [INFO] [ai_detector.logging.logger] - ✓ Processing complete in 0.59s
[2026-05-25 03:55:37,493] [INFO] [ai_detector.logging.logger] - Processing image: Tanya-kebab.jpeg
[2026-05-25 03:55:37,494] [INFO] [ai_detector.logging.logger] -   Predicting with model_1...
[2026-05-25 03:55:37,541] [INFO] [ai_detector.logging.logger] -   Predicting with model_2...
[2026-05-25 03:55:37,577] [INFO] [ai_detector.logging.logger] -   Predicting with model_3...
